Scenario,AftScenario,AFT,givingInDistributionMean,givingInDistributionSD,givingUpDistributionMean,givingUpDistributionSD,serviceLevelNoiseMin,serviceLevelNoiseMax,givingUpProb
Baseline,A,IA,0.1,0.03,0,0.03,0,0.1,0.2
Baseline,A,Int_AF,1,0.03,0,0.03,0,0.1,0.2
Baseline,A,Int_Fa,0.1,0.03,0,0.03,0,0.1,0.2
Baseline,A,MF,1,0.03,0,0.03,0,0.1,0.2
Baseline,A,EP,1,0.03,0,0.03,0,0.1,0.2
Baseline,A,Ext_AF,0.1,0.03,0,0.03,0,0.1,0.2
Baseline,A,Multifun,1,0.03,0,0.03,0,0.1,0.2
Baseline,A,UMF,0.1,0.03,0,0.03,0,0.1,0.2
Baseline,A,IP,1,0.03,0,0.03,0,0.1,0.2
Baseline,A,Mix_Fa,1,0,0,0.03,0,0.1,0.2
Baseline,A,P-Ur,1,0,0,0.03,0,0.1,0.2
Baseline,A,Min_man,1,0,0,0.03,0,0.1,0.2
Baseline,A,Mix_P,1,0,0,0.03,0,0.1,0.2
Baseline,A,UL,1,0,0,0.03,0,0.1,0.2
Baseline,A,Ur,1,0,0,0.03,0,0.1,0.2
Baseline,A,Mix_For,1,0,0,0.03,0,0.1,0.2
Baseline,A,VEP,1,0,0,0.03,0,0.1,0.2
