0.375,0,0.25,0,0,0,0.125,0,0,0,0,0,0,0,0,0.125,0.125
0,0.6,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
0.25,0.1,0.35,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
0,0.1,0.1,0.35,0.1,0.1,0,0.25,0,0,0,0,0,0,0,0,0
0,0.1,0.1,0.1,0.225,0.1,0,0,0,0.125,0,0,0,0,0,0.125,0.125
0,0.1,0.1,0.1,0.1,0.35,0,0,0.25,0,0,0,0,0,0,0,0
0.125,0,0,0,0,0,0.375,0,0,0,0.25,0,0,0,0,0.125,0.125
0,0,0,0.25,0,0,0,0.375,0.125,0.125,0.125,0,0,0,0,0,0
0,0,0,0,0,0.25,0,0.125,0.375,0.125,0.125,0,0,0,0,0,0
0,0,0,0,0.125,0,0,0.125,0.125,0.25,0.125,0,0,0,0,0.125,0.125
0,0,0,0,0,0,0.25,0.125,0.125,0.125,0.375,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.125,0,0,0,0.125,0,0.125,0,0,0.125,0,0,0,0,0,0.25,0.25
0.125,0,0,0,0.125,0,0.125,0,0,0.125,0,0,0,0,0,0.25,0.25
